C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,V_AGE
11,7,20,2,1,1,2,1,18,1,1,6,21,1,2,2,2
6,6,6,2,1,1,1,1,18,1,0,43,11,1,2,1,4
10,7,9,2,1,1,1,1,18,1,0,66,11,1,2,1,23
3,1,15,3,2,3,2,1,18,1,0,41,21,1,2,2,13
12,1,23,2,2,2,5,1,3,1,0,20,96,1,13,2,2
8,2,1,2,2,1,1,1,18,1,0,24,11,1,2,1,12
1,5,16,2,1,4,5,1,18,1,1,18,13,1,2,2,18
9,5,19,2,1,1,1,1,18,1,0,8,23,1,2,2,10
11,1,18,2,1,1,1,1,18,1,0,75,11,1,2,1,3
4,5,9,2,2,1,1,1,18,7,0,29,32,1,13,2,4
3,7,1,2,1,1,1,1,18,1,0,18,11,1,2,1,9
8,5,3,2,1,1,1,1,18,1,1,30,11,1,2,1,4
5,6,0,4,1,1,1,1,18,1,0,28,11,1,2,1,18
2,6,8,3,1,6,3,1,18,1,1,35,22,1,2,2,2
5,5,15,2,1,1,1,1,18,14,0,37,96,1,1,5,7
7,1,11,2,1,1,1,1,18,1,0,58,11,1,1,1,7
3,4,18,2,1,4,3,1,18,1,0,45,11,1,2,1,10
7,6,0,3,1,1,1,1,18,1,1,66,11,1,2,1,10
7,5,18,3,2,1,1,1,18,1,0,22,23,1,1,2,6
7,7,19,2,1,1,1,1,1,14,0,19,11,1,9,5,4
4,2,16,2,1,1,1,1,18,1,1,60,11,1,2,1,9
9,2,12,2,1,1,1,1,18,1,1,71,11,1,2,1,7
3,1,7,2,1,4,3,1,18,1,0,39,11,1,2,1,11
4,7,19,2,2,1,1,1,18,1,0,50,11,1,12,1,16
12,3,22,2,2,1,2,1,18,1,1,48,11,1,2,1,10
7,6,11,3,1,1,1,1,18,1,1,86,11,1,2,1,2
